iter	Passed	Remaining
0	246	245944
1	248	123940
2	256	85176
3	262	65438
4	265	52905
5	364	60329
6	438	62262
7	477	59176
8	502	55318
9	505	50087
10	518	46597
11	539	44454
12	718	54532
13	727	51252
14	751	49332
15	783	48158
16	825	47758
17	834	45521
18	839	43341
19	858	42061
20	865	40360
21	874	38892
22	884	37587
23	894	36358
24	901	35144
25	909	34055
26	943	33984
27	946	32847
28	1007	33722
29	1009	32650
30	1014	31707
31	1021	30892
32	1032	30264
33	1035	29431
34	1039	28657
35	1043	27938
36	1045	27219
37	1069	27081
38	1072	26424
39	1079	25917
40	1094	25592
41	1100	25095
42	1106	24629
43	1111	24147
44	1139	24181
45	1168	24223
46	1170	23742
47	1175	23314
48	1178	22869
49	1180	22438
50	1184	22032
51	1186	21638
52	1189	21255
53	1192	20892
54	1195	20537
55	1199	20225
56	1202	19891
57	1204	19564
58	1206	19239
59	1208	18933
60	1212	18656
61	1215	18384
62	1217	18113
63	1224	17913
64	1227	17657
65	1230	17412
66	1232	17167
67	1233	16911
68	1235	16673
69	1239	16466
70	1246	16305
71	1249	16100
72	1252	15902
73	1254	15697
74	1258	15515
75	1260	15323
76	1263	15142
77	1266	14968
78	1269	14802
79	1272	14632
80	1275	14470
81	1277	14301
82	1279	14133
83	1281	13971
84	1282	13803
85	1284	13650
86	1285	13491
87	1287	13341
88	1289	13194
89	1291	13059
90	1295	12943
91	1297	12808
92	1299	12673
93	1303	12560
94	1305	12434
95	1307	12309
96	1310	12200
97	1313	12087
98	1315	11972
99	1317	11856
100	1320	11754
101	1322	11641
102	1324	11532
103	1327	11436
104	1333	11366
105	1335	11262
106	1339	11178
107	1341	11076
108	1342	10975
109	1344	10875
110	1346	10787
111	1349	10696
112	1350	10603
113	1352	10510
114	1354	10420
115	1356	10339
116	1358	10254
117	1360	10168
118	1361	10081
119	1364	10003
120	1369	9945
121	1371	9872
122	1374	9797
123	1376	9727
124	1379	9653
125	1384	9601
126	1386	9533
127	1388	9459
128	1390	9389
129	1396	9344
130	1398	9277
131	1402	9219
132	1405	9162
133	1407	9096
134	1412	9049
135	1418	9009
136	1450	9136
137	1452	9071
138	1455	9013
139	1457	8951
140	1459	8892
141	1461	8832
142	1463	8771
143	1467	8725
144	1470	8670
145	1472	8614
146	1474	8558
147	1477	8508
148	1479	8452
149	1482	8400
150	1485	8353
151	1487	8299
152	1489	8243
153	1490	8188
154	1492	8134
155	1495	8091
156	1497	8040
157	1498	7987
158	1500	7936
159	1503	7891
160	1505	7844
161	1506	7793
162	1508	7744
163	1513	7712
164	1515	7668
165	1517	7624
166	1519	7577
167	1521	7535
168	1524	7494
169	1526	7451
170	1528	7409
171	1532	7375
172	1533	7331
173	1535	7287
174	1536	7243
175	1539	7206
176	1541	7167
177	1542	7125
178	1544	7083
179	1545	7042
180	1546	6998
181	1549	6962
182	1551	6924
183	1553	6890
184	1555	6851
185	1558	6820
